,sci_name,vernacularName,geopolitical_regions,location_distribution
0,Bolbitis novoguineensis,,"['Melanesia, Micronesia & Polynesia']",['New Guinea']
1,Bolbitis occidentalis,,['South America'],['Ecuador']
2,Acrostichum pandurifolium,,,
3,Gymnopteris pandurifolia,,,
4,Leptochilus pandurifolius,,,
5,Bolbitis pandurifolia,,['South America'],['Bolivia;Ecuador;Peru']
6,Acrostichum alienum var. flagellum,,,
7,Leptochilus alienus var. flagellum,,,
8,Leptochilus cladorrhizans,,,
9,Poecilopteris lobulosa,,,
10,Acrostichum cladorrhizans,,,
11,Anapausia aliena var. cladorrhizans,,,
12,Acrostichum irregulare,,,
13,Acrostichum portoricense,,,
14,Anapausia portoricensis,,,
15,Bolbitis cladorrhizans,,,
16,Gymnopteris irregularis,,,
17,Gymnopteris portoricensis,,,
18,Bolbitis portoricensis,,['Central America;South America;Undefined;Caribbean'],['Mexico;Belize;Guatemala;Honduras;El Salvador;Nicaragua;Costa Rica;Panama;Colombia;Venezuela;Ecuador;Cuba;Jamaica;Hispaniola;Puerto Rico;St. Eustatius;St. Kitts;Montserrat;Guadeloupe;Dominica;Martinique;St. Lucia;St. Vincent;Trinidad;Tobago']
19,Acrostichum preslianum,,,
20,Acrostichum punctulatum,,,
21,Campium feeianum,,,
22,Campium punctulatum,,,
23,Gymnopteris presliana,,,
24,Gymnopteris presliana,,,
25,Heteroneuron preslianum,,,
26,Leptochilus preslianus,,,
27,Poecilopteris presliana,,,
28,Bolbitis presliana,,['Southern Asia'],['India']
29,Leptochilus prolifer,,,
30,Polybotrya prolifera,,,
31,Bolbitis prolifera,,['Eastern Africa'],['Madagascar']
32,Acrostichum quoyanum,,,
33,Campium enorme,,,
34,Campium parvum,,,
35,Campium quoyanum,,,
36,Campium validum,,,
37,Campium viviparum,,,
38,Chrysodium quoyanum,,,
39,Chrysodium sagenioides,,,
40,Cyrtogonium laciniatum,,,
41,Gymnopteris naumannii,,,
42,Gymnopteris repanda var. quoyana,,,
43,Aspidium novo-pommeranicum,,,
44,Heteroneuron naumannii,,,
45,Heteroneuron quoyanum,,,
46,Leptochilus cuspidatus var. marginalis,,,
47,Leptochilus cuspidatus var. quoyanus,,,
48,Leptochilus naumannii,,,
49,Leptochilus sagenioides,,,
50,Poecilopteris quoyana,,,
51,Poecilopteris smithii,,,
52,Stenosemia dimorpha,,,
53,Tectaria novo-pommeranica,,,
54,Bolbitis boninensis,,,
55,Bolbitis enormis,,,
56,Bolbitis naumannii,,,
57,Bolbitis parva,,,
58,Bolbitis sagenioides,,,
59,Bolbitis valida,,,
60,Bolbitis vivipara,,,
61,Bolbitis quoyana,,"['Australia & New Zealand;Melanesia, Micronesia & Polynesia;Southeastern Asia;Eastern Asia']",['Australia;Solomon Island;Bonin Island;Volcano Island;New Guinea;Bismarck Arch.;Moluccas;Philippines;Sulawesi;Java;Lesser Sunda Island;Northern Marianas;Samoa;Vanuatu;Fiji']
62,Acrostichum rawsonii,,,
63,Campium rawsonii,,,
64,Leptochilus rawsonii,,,
65,Bolbitis rawsonii,,['Undefined'],['tropical Asia']
66,Acrostichum repandum,,,
67,Campium repandum,,,
68,Chrysodium repandum,,,
69,Cyrtogonium repandum,,,
70,Gymnopteris repanda,,,
71,Heteroneuron repandum,,,
72,Poecilopteris repanda,,,
73,Bolbitis repanda,,['Southern Asia;Southeastern Asia'],['Philippines;Borneo;Sulawesi;Lesser Sunda Island;Nepal']
74,Bolbitis copelandii,,,
75,Lacaussadea rhizophylla,,,
76,Polybotrya appendiculata var. rhizophylla,,,
77,Polybotrya duplicato-serrata,,,
78,Polybotrya exaltata,,,
79,Polybotrya intermedia,,,
80,Polybotrya neglecta,,,
81,Polybotrya rhizophylla,,,
82,Polybotrya serrulata,,,
83,Bolbitis intermedia,,,
84,Bolbitis serrulata,,,
85,Egenolfia fluviatilis,,,
86,Egenolfia intermedia,,,
87,Egenolfia neglecta,,,
88,Egenolfia rhizophylla,,,
89,Egenolfia serrulata,,,
90,Gymnogramma rhizophylla,,,
91,Bolbitis rhizophylla,,['Southeastern Asia;Eastern Asia'],['Taiwan;Philippines;Palawan']
92,Bolbitis riparia,,['South America'],['Ecuador']
93,Acrostichum rivulare,,,
94,Campium kajewskii,,,
95,Campium rivulare,,,
96,Cyrtogonium rivulare,,,
97,Leptochilus rivularis,,,
98,Neurocallis rivularis,,,
99,Poecilopteris rivularis,,,
100,Bolbitis rivularis,,"['Melanesia, Micronesia & Polynesia;Southeastern Asia']",['Fiji;Vanuatu;New Guinea;Moluccas;Solomon Island']
101,Acrostichum salicinum,,,
102,Campium salicinum,,,
103,Chrysodium salicinum,,,
104,Gymnopteris salicina,,,
105,Leptochilus salicinus,,,
106,Bolbitis salicina,,['Middle Africa;Western Africa'],['Guinea;Sierra Leone;Liberia;Ivory Coast;Ghana;Nigeria;Cameroon;Bioko Island;Gabon;Congo;D.R. Congo']
107,Acrostichum scalpturatum,,,
108,Campium scalpturatum,,,
109,Chrysodium scalpturatum,,,
110,Heteroneuron scalpturatum,,,
111,Leptochilus reimersii,,,
112,Leptochilus scalpturatus,,,
113,Bolbitis scalpturata,,['Southeastern Asia;Eastern Asia'],['China;Taiwan;Myanmar;Thailand;Vietnam;Sumatra;Java;Lesser Sunda Island;Sulawesi;Philippines;Palawan']
114,Bolbitis scandens,,['Eastern Asia'],['China']
115,Acrostichum semicordatum,,,
116,Bolbitis semicordata var. incisa,,,
117,Bolbitis thommankuthiana,,,
118,Campium semicordatum,,,
119,Gymnopteris semicordata,,,
120,Phegopteris hosei var. sumbensis,,,
121,Poecilopteris semicordata,,,
122,Bolbitis semicordata,,['Southern Asia;Southeastern Asia'],['India;Lesser Sunda Island']
123,Acrostichum alienum var. semipinnatifidum,,,
124,Acrostichum semipinnatifidum,,,
125,Anapausia semipinnatifida,,,
126,Anapausia semipinnatifida var. decurrens,,,
127,Bolbitis dentata,,,
128,Bolbitis scopulina,,,
129,Gymnopteris dentata,,,
130,Gymnopteris semipinnatifida,,,
131,Gymnopteris semipinnatifida var. subsimplex,,,
132,Bolbitis semipinnatifida,,['South America;Caribbean'],['Trinidad;French Guiana;Surinam;Guyana;Brazil;Colombia;Venezuela']
133,Acrostichum serratum,,,
134,Chrysodium serratum,,,
135,Leptochilus serratus,,,
136,Micropteris pectinata,,,
137,Polypodium minimum,,,
138,Bolbitis serrata,,['South America'],['Colombia;Ecuador;Peru']
139,Acrostichum contaminoides,,,
140,Chrysodium fraxinifolium,,,
141,Chrysodium serratifolium,,,
142,Cyrtogonium serratifolium,,,
143,Gymnopteris contaminoides,,,
144,Gymnopteris serratifolia,,,
145,Heteroneuron serratifolium,,,
146,Heteroneuron serratifolium var. undulatum,,,
147,Leptochilus contaminoides,,,
148,Leptochilus contaminoides var. lobulata,,,
149,Leptochilus crenatus,,,
150,Acrostichum fraxinifolium,,,
151,Leptochilus crenatus var. robustior,,,
152,Leptochilus crenatus var. contaminoides,,,
153,Leptochilus mexicanus,,,
154,Leptochilus serratifolius,,,
155,Leptochilus serratifolius var. caudatus,,,
156,Leptochilus serratifolius var. prolifer,,,
157,Poecilopteris crenata,,,
158,Poecilopteris fraxinifolia,,,
159,Polybotrya fraxinifolia,,,
160,Acrostichum pervium,,,
161,Acrostichum scalpturatum,,,
162,Acrostichum serratifolium,,,
163,Acrostichum triste,,,
164,Bolbitis crenata,,,
165,Bolbitis maguirei,,,
166,Bolbitis mexicana,,,
167,Bolbitis serratifolia,,['Central America;South America'],['Mexico;Costa Rica;Panama;Nicaragua;Colombia;Venezuela;Ecuador;Peru;Bolivia;Brazil;Argentina;Brazil;Paraguay;Guyana;Surinam;French Guiana']
168,Bolbitis simplex,,['Central America'],['Panama']
169,Acrostichum appendiculatum var. ludens,,,
170,Polybotrya sinensis,,,
171,Acrostichum ludens,,,
172,Acrostichum sinense,,,
173,Campium sinense,,,
174,Egenolfia crassifolia,,,
175,Egenolfia crenata,,,
176,Egenolfia sinensis,,,
177,Poecilopteris ludens,,,
178,Polybotrya appendiculata var. ludens,,,
179,Bolbitis sinensis,,"['Southern Asia;Southeastern Asia;Melanesia, Micronesia & Polynesia;Eastern Asia']",['Tibet;China;India;Bhutan;Bangladesh;Myanmar;Thailand;Cambodia;Vietnam;Java;Lesser Sunda Island;New Guinea']
180,Bolbitis singaporensis,,['Southeastern Asia'],['Singapore;Malaysia']
181,Acrostichum diversifolium,,,
182,Bolbitis subsimplex,,,
183,Campium diversifolium,,,
184,Campium hydrophyllum,,,
185,Campium subsimplex,,,
186,Chrysodium diversifolium,,,
187,Chrysodium zollingeri,,,
188,Cyrtogonium diversifolium,,,
189,Gymnopteris subrepanda,,,
190,Gymnopteris subsimplex,,,
191,Heteroneuron diversifolium,,,
192,Acrostichum subrepandum,,,
193,Leptochilus decurrens var. rasamalae,,,
194,Leptochilus diversifolius,,,
195,Leptochilus hydrophyllus,,,
196,Leptochilus malaccensis,,,
197,Leptochilus stolonifer,,,
198,Leptochilus zollingeri,,,
199,Phymatodes sinuata,,,
200,Poecilopteris diversifolia,,,
201,Poecilopteris subrepanda,,,
202,Polypodium sinuatum,,,
203,Acrostichum variabile var. rasamalae,,,
204,Acrostichum zollingeri,,,
205,Anapausia zollingeri,,,
206,Bolbitis diversifolia,,,
207,Bolbitis hydrophylla,,,
208,Bolbitis malaccensis,,,
209,Bolbitis nitens,,,
210,Bolbitis sinuata,,"['Southern Asia;Southeastern Asia;Melanesia, Micronesia & Polynesia']",['Nicobar Island;Thailand;Sumatra;Malaysia;Java;Philippines;Palawan;New Guinea;Pulau Tioman;Pulau Langkawi;Borneo;Sulawesi;Moluccas']
211,Bolbitis formosana,,,
212,Bolbitis nakaii,,,
213,Campium subcordatum,,,
214,Leptochilus subcordatus,,,
215,Bolbitis media,,,
216,Bolbitis subcordata var. media,,,
217,Bolbitis subcordata,,['Southern Asia;Southeastern Asia;Eastern Asia'],['China;Taiwan;Japan;Ryukyu Island;Vietnam;India']
218,Acrostichum hookerianum,,,
219,Heteroneuron subcrenatum,,,
220,Leptochilus subcrenatus,,,
221,Poecilopteris hookeriana,,,
222,Poecilopteris subcrenata,,,
223,Acrostichum subcrenatum,,,
224,Bolbitis bradfordii,,,
225,Campium bradfordii,,,
226,Campium subcrenatum,,,
227,Campium subcrenatum,,,
228,Cyrtogonium subcrenatum,,,
229,Gymnopteris subcrenata,,,
230,Gymnopteris terminans,,,
231,Bolbitis subcrenata,,['Southern Asia'],['Sri Lanka']
232,Acrostichum taylorii,,,
233,Campium taylorii,,,
234,Leptochilus taylorii,,,
235,Bolbitis taylorii,,['Australia & New Zealand'],['Australia']
236,Acrostichum terminans,,,
237,Poecilopteris terminans,,,
238,Bolbitis terminans,,,
239,Bolbitis terminans,,,
240,Bolbitis tibetica,,['Southern Asia;Eastern Asia'],['Tibet;Nepal;India']
241,Egenolfia tonkinensis,,,
242,Bolbitis tonkinensis,,['Southeastern Asia;Eastern Asia'],['China;Vietnam;Thailand;Cambodia']
243,Acrostichum umbrosum,,,
244,Leptochilus umbrosus,,,
245,Bolbitis umbrosa,,['Central America'],['Mexico']
246,Bolbitis vanuaensis,,"['Melanesia, Micronesia & Polynesia']",['Fiji']
247,Acrostichum costatum var. undulatum,,,
248,Gymnopteris costata var. undulata,,,
249,Gymnopteris virens,,,
250,Heteroneuron virens,,,
251,Jenkinsia undulata,,,
252,Leptochilus scalpturatus var. undulatus,,,
253,Leptochilus virens,,,
254,Lomariopsis undulata,,,
255,Notholaena undulata,,,
256,Poecilopteris costata var. undulata,,,
257,Poecilopteris repanda,,,
258,Acrostichum crispatulum var. contaminans,,,
259,Poecilopteris virens,,,
260,Acrostichum virens,,,
261,Bolbitis latipinna,,,
262,Bolbitis undulata,,,
263,Bolbitis virens var. undulata,,,
264,Campium undulatum,,,
265,Campium virens,,,
266,Cyrtogonium virens,,,
267,Bolbitis virens,,['Undefined;Southern Asia;Southeastern Asia;Eastern Asia'],['China;India;Bhutan;Myanmar;Thailand;Malaysia;Java;Bangladesh;Cambodia;']
268,Bolbitis virens var. compacta,,['Southern Asia;Southeastern Asia;Eastern Asia'],['Taiwan;Vietnam;Thailand;Thailand;Malaysia;Nicobar Island']
269,Campium argutum,,,
270,Heteroneuron argutum,,,
271,Bolbitis arguta,,['Southeastern Asia'],['Philippines']
272,Acrostichum boivinii,,,
273,Acrostichum laurentii,,,
274,Bolbitis laurentii,,,
275,Campium boivinii,,,
276,Chrysodium boivinii,,,
277,Gymnopteris boivinii,,,
278,Leptochilus boivinii,,,
279,Leptochilus laurentii,,,
280,Bolbitis boivinii,,['Middle Africa;Northern Africa;Eastern Africa'],['Chad;Cameroon;Gabon;Central African Republic;D.R. Congo;Congo;Sudan;Angola;Madagascar']
281,Bolbitis kanarensis,,,
282,Campium lanceum,,,
283,Bolbitis lancea,,['Southern Asia'],['India']
284,Egenolfia laxireticulata,,,
285,Bolbitis laxireticulata,,['Eastern Asia'],['China;Taiwan;Ryukyu Island']
286,Egenolfia yunnanensis,,,
287,Bolbitis multipinna,,['Eastern Asia'],['China']
288,Bolbitis nanjenensis,,['Eastern Asia'],['Taiwan']
289,Cyrtogonium sinuosum,,,
290,Heteroneuron sinuosum,,,
291,Poecilopteris sinuosa,,,
292,Bolbitis sinuosa,,['Southeastern Asia'],['Philippines']
293,Bolbitis foxii,,,
294,Bolbitis sinuosa var. foxii,,['Southeastern Asia'],['Philippines']
295,Acrostichum articulatum,,,
296,Lomagramma articulata,,,
297,Lomagramma bipinnata,,,
298,Polybotrya articulata,,,
299,Teratophyllum articulatum,,,
300,Arthrobotrya articulata,,"['Melanesia, Micronesia & Polynesia;Southeastern Asia']",['Sulawesi;Sulawesi;Philippines;New Guinea;Solomon Island;Moluccas;Bismarck Arch.']
301,Acrostichum brightiae,,,
302,Teratophyllum brightiae,,,
303,Arthropteris prorepens,,,
304,Lomariopsis brightiae,,,
305,Acrostichum sorbifolium var. leptocarpum,,,
306,Arthrobotrya brightiae,,['Australia & New Zealand'],['Australia']
