taxonID	vernacularName	language	countryCode	locality	transliteration
45195094	Thinleaf creepingfern				
45195512	Tongue fern				
45196512	Ekaha				
45197311	Iron fern				
45197822	Trim Shield fern				
45197845	Bristly Shield fern				
45197845	Hairy fern				
45197864	Creeping Shield fern				
45197864	Glossy Shield fern				
45197902	Broad Shield fern				
45197925	Velvety Shield fern				
45198181	Florida lacefern				
45198181	Red-hair Comb Fern				
45198824	Brownhair lacefern				
45198905	Eared veinfern				
45198938	Bellybutton veinfern				
45198947	Christmas Fern				
45198975	Portia				
45198975	Gelappter Schildfarn				
45198975	Dorniger Schildfarn				
45199050	Anderson's hollyfern				
45199132	Brauns Schildfarn				
45199132	Zarter Schildfarn				
45199132	Braun's hollyfern				
45199132	Weicher Schildfarn				
45199145	California Sword Fern				
45199232	Alpine shield fern				
45199295	Dudley's swordfern				
45199471	Narrowleaf swordfern				
45199505	Kruckeberg's Hollyfern				
45199510	Kwakiutl's hollyfern				
45199512	Aleutian Hollyfern				
45199531	Shasta Fern				
45199531	Lemmon's hollyfern				
45199562	Lanzen-Schildfarn				
45199562	Northern Hollyfern				
45199588	Korean rockfern				
45199643	Attu Hollyfern				
45228680	Screw fern				
45228733	Lacy wedge fern				
45229189	Thicket creepingfern				
45229286	Clubbed creepingfern				
45229286	Wedgelet Fern				
45229447	Coast Leather Fern				
45229447	Golden leatherfern				
45229482	Inland Leather Fern				
45229492	Mangrove fern				
45229492	Piai Lasa				
45229507	Floating antlerfern				
45229512	Triangle waterfern				
45229514	Oriental water fern				
45229514	Water Sprite				
45229606	Bamboo fern				
45229679	American rockbrake				
45229705	Cascade rockbrake				
45229706	Krauser Rollfarn				
45229726	Sitka rockbrake				
45229730	Fragile rockbrake				
45230242	Forest brake				
45230306	Striped brake				
45230306	Silver brake				
45230334	Bahama Ladder Brake				
45230369	Thinleaf brake				
45230486	Netted brake				
45230510	Kretischer Saumfarn				
45230510	Cretan Brake				
45230510	helecho orlado				
45230510	Helecho temblon				
45230591	Toothed brake				
45230654	Sword brake fern				
45230654	Slender brake				
45230678	Victorian brake				
45230722	Elephantleaf brake				
45230814	Unvollständiger Saumfarn				
45230814	Rajuno dentado				
45230924	Longleaf brake				
45230924	Ladder brake				
45230941	Sweet fern				
45230994	Helecho arana				
45230994	Vielteiliger Saumfarn				
45230994	Spider Brake				
45231052	Oriental brake				
45231091	White-lined Cretan Brake				
45231136	Braid fern				
45231201	Striped brake				
45231366	shaking brake				
45231366	Zitter-Saumfarn				
45231366	Tender brake				
45231366	trembling fern				
45231366	Turawera				
45231366	Australian brake fern				
45231374	Painted brake				
45231376	Giant brake				
45231376	Trisect brake				
45231407	Jungle brake				
45231438	Helecho de abichuela				
45231438	Gebänderter Saumfarn				
45231438	Chinese Ladder Brake				
45231577	Japanese Claw fern				
45231577	Carrot fern				
45231654	Wolliger Pelzfarn				
45231654	Helecho lanudo				
45231654	Doradilla velluda				
45231671	Dünnblättriger Nacktfarn				
45231671	Jersey fern				
45231671	Annual fern				
45231671	Helecho de tiempo				
45231717	Dixie silverback fern				
45231769	Island goldback fern				
45231879	Mountain silverback fern				
45231923	Goldenrod Fern				
45231923	Threeleaf goldback fern				
45231952	Goldback fern				
45231952	Curly Gold fern				
45232093	true maidenhair				
45232093	Common maidenhair				
45232102	Aleutian Maidenhair Fern				
45232115	Double edge maidenhair				
45232153	Frauenhaarfarn				
45232153	Maidenhair Fern				
45232197	Trailing maidenhair				
45232197	Tailed maidenhair				
45232237	Common Maidenhair Fern				
45232237	Brittle maidenhair				
45232293	Filmy maidenhair				
45232293	Small maidenhair				
45232354	Giant maidenhair				
45232354	Black-stem maidenhair				
45232354	Australian maidenhair				
45232359	Fragile maidenhair				
45232401	Rough maidenhair				
45232401	Rosy maidenhair				
45232439	Ghatak's maidenhair fern				
45232450	California Maidenhair Fern				
45232459	Broadleaf maidenhair				
45232516	Fragrant Maiden-hair				
45232599	Northern Maidenhair Fern				
45232630	Silver-dollar fern				
45232706	Giant maidenhair				
45232720	Glossy maidenhair				
45232734	Pyramid maidenhair				
45232743	Delta maidenhair				
45232758	Talerfarn				
45232758	Hierba tostonera				
45232854	Fan maidenhair				
45232854	Brittle Maidenhair Fern				
45232936	Diamond maidenhair				
45232954	Hairy Maidenhair Fern				
45232954	Fuzzy maidenhair				
45232969	Hardy maidenhair				
45232969	Evergreen maidenhair				
45232982	Woolly maidenhair				
45232994	Green Mountain Maidenhair				
45233127	Stiff shoestring fern				
45233262	Bootlace Fern				
45233386	Ox-tongue fern				
45233511	Appalachian shoestring fern				
45233513	Grass Fern				
45233530	Shoestring Fern				
45233605	Copper Fern				
45233644	Rival lipfern				
45233644	Texas lipfern				
45233647	Alabama Lipfern				
45233664	Golden Lipfern				
45233686	Cleveland's Lipfern				
